start_hours,start_minutes,start_seconds,end_hours,end_minutes,end_seconds,text
0,0,0,0,0,4,WWW.MY-SUBS.CO
0,0,5,0,0,8,"As the first century
of the Targaryen dynasty"
0,0,8,0,0,9,came to a close
0,0,10,0,0,14,"the health of the Old King,
Jaehaerys, was failing."
0,0,16,0,0,21,"In those days, House Targaryen
stood at the height of its strength"
0,0,21,0,0,24,with ten adult dragons under its yoke.
0,0,25,0,0,27,"No power in the world
could stand against it."
0,0,28,0,0,31,"King Jaehaerys reigned
over nearly 60 years"
0,0,31,0,0,33,of peace and prosperity
0,0,33,0,0,36,but tragedy had claimed both his sons
0,0,36,0,0,38,leaving his succession in doubt.
0,0,39,0,0,41,"So, in the year 101"
0,0,41,0,0,45,"the Old King called a Great
Council to choose an heir."
0,0,46,0,0,49,"Over a thousand lords made
the journey to Harrenhal."
0,0,51,0,0,54,Fourteen succession claims were heard
0,0,54,0,0,57,but only two were truly considered.
0,0,58,0,1,1,"Princess Rhaenys Targaryen,
the King's eldest descendant"
0,1,1,0,1,5,"and her younger cousin,
Prince Viserys Targaryen"
0,1,5,0,1,8,the King's eldest male descendant.
0,1,14,0,1,18,It is declared by all lords paramount
0,1,18,0,1,22,and lords vassal of the Seven Kingdoms
0,1,23,0,1,29,"that Prince Viserys Targaryen
be made Prince of Dragonstone!"
0,1,30,0,1,35,"Rhaenys, a woman, would
not inherit the Iron Throne."
0,1,37,0,1,39,The lords instead chose Viserys
0,1,41,0,1,42,my father.
0,1,45,0,1,47,Jaehaerys called the Great Council
0,1,47,0,1,51,"to prevent a war being
fought over his succession."
0,1,51,0,1,53,For he knew the cold truth.
0,1,53,0,1,57,"The only thing that could tear
down the House of the Dragon"
0,1,58,0,1,59,was itself.
0,2,0,0,2,11,"<font color=""#ec14bd"">Sync & corrections by honeybunny
www.MY-SUBS.com</font>"
0,3,46,0,3,49,"Dohaeras, Syrax!"
0,3,53,0,3,54,Umbas.
0,3,55,0,3,56,Rybas!
0,4,8,0,4,11,"Welcome back, Princess. I
trust your ride was pleasant."
0,4,11,0,4,13,"Try not to look too relieved, ser."
0,4,13,0,4,14,I am relieved.
0,4,14,0,4,17,"Every time that golden beast
brings you back unspoiled"
0,4,17,0,4,19,it saves my head from a spike.
0,4,20,0,4,22,Syrax is growing quickly.
0,4,22,0,4,24,She'll soon be as large as Caraxes.
0,4,24,0,4,26,"That's almost large
enough to saddle two."
0,4,26,0,4,29,"I believe I'm quite content
as a spectator, thank you."
0,4,32,0,4,34,Dohaeras.
0,4,35,0,4,36,Naejot!
0,6,0,0,6,2,Rhaenyra.
0,6,4,0,6,5,You know I don't like you to go flying
0,6,5,0,6,7,while I'm in this condition.
0,6,7,0,6,9,"You don't like me to go flying
while you're in any condition."
0,6,11,0,6,14,"- Your Grace.
- Good morrow, Alicent."
0,6,14,0,6,15,Did you sleep?
0,6,15,0,6,17,"- I slept.
- How long?"
0,6,18,0,6,20,"I don't need mothering, Rhaenyra."
0,6,21,0,6,23,"Well, here you are,
surrounded by attendants"
0,6,23,0,6,24,all focused on the babe.
0,6,25,0,6,27,Someone has to attend to you.
0,6,28,0,6,32,"You will lie in this bed
soon enough, Rhaenyra."
0,6,33,0,6,36,"This discomfort is
how we serve the realm."
0,6,36,0,6,39,"I'd rather serve as a knight
and ride to battle and glory."
0,6,42,0,6,44,"We have royal wombs, you and I."
0,6,46,0,6,48,The child bed is our battlefield.
0,6,50,0,6,52,"We must learn to face
it with a stiff lip."
0,6,54,0,6,55,Now take a bath.
0,6,56,0,6,57,You stink of dragon.
0,7,0,0,7,1,"So, I said to him, ""Well, I believe"
0,7,1,0,7,3,"you might be looking up the wrong end."""
0,7,7,0,7,8,My lords.
0,7,8,0,7,10,"The growing alliance
among the Free Cities"
0,7,10,0,7,13,"has taken to styling
itself the Triarchy."
0,7,13,0,7,15,They have massed on Bloodstone
0,7,15,0,7,17,"and are presently
ridding the Step stones"
0,7,17,0,7,18,of its pirate infestation.
0,7,18,0,7,21,"Well, that sounds suspiciously
like good news, Lord Corlys."
0,7,21,0,7,23,A man called Craghas Drahar
0,7,23,0,7,26,"has styled himself the
prince-admiral of this Triarchy."
0,7,27,0,7,29,They call him the Crabfeeder
0,7,29,0,7,32,"due to his inventive methods
of punishing his enemies."
0,7,32,0,7,35,"And are we meant to
weep for dead pirates?"
0,7,35,0,7,38,"- No, Your Grace.
- Rhaenyra, you're late."
0,7,38,0,7,39,The King's cupbearer must not be late.
0,7,39,0,7,42,"- Leaves people wanting for cups.
- I was visiting Mother."
0,7,45,0,7,46,On dragon back?
0,7,46,0,7,49,"Hey, Your Grace, at
Prince Daemon's urging"
0,7,49,0,7,51,"the crown has invested
significant capital"
0,7,52,0,7,55,"in the re-training and
re-equipping of his City Watch."
0,7,55,0,7,59,"I thought you might urge your brother
to fill his seat on the council"
0,7,59,0,8,2,"and provide an
assessment of his progress"
0,8,2,0,8,4,as commander of the Watch.
0,8,4,0,8,6,"Do you think Daemon is
distracted by his present tasks?"
0,8,6,0,8,8,"And that his thoughts
and energies are occupied?"
0,8,8,0,8,12,"Well, one would hope so,
considering the associated costs."
0,8,12,0,8,15,"Then let us all consider your
gold well-invested, Lord Beesbury."
0,8,15,0,8,18,"I would urge that you not allow
this Triarchy much latitude"
0,8,18,0,8,19,"in the Step stones, Your Grace."
0,8,20,0,8,23,"If those shipping lanes should
fall, it will beggar our ports."
0,8,23,0,8,26,"The crown has heard
your report, Lord Corlys"
0,8,26,0,8,28,and takes it under advisement.
0,8,33,0,8,36,"Shall we discuss the Heir's
Tournament, Your Grace?"
0,8,37,0,8,39,I would be delighted.
0,8,39,0,8,41,"Will the maesters' name
day prediction hold, Mellos?"
0,8,41,0,8,44,"You must understand that these
things are mere estimations, my King"
0,8,45,0,8,48,"but we have all been
poring over the moon charts"
0,8,48,0,8,51,"and we feel that our forecast
is as accurate as it can be."
0,8,52,0,8,54,"The cost of the tournament
is not negligible."
0,8,54,0,8,58,"Perhaps we might delay
until the child is in hand?"
0,8,59,0,9,0,Most of the lords and knights
0,9,0,0,9,2,"are certainly on their way
to King's Landing already."
0,9,2,0,9,3,"- To turn them back now...
- The tourney will take"
0,9,3,0,9,4,the better part of a week.
0,9,4,0,9,7,"Before the games are
over, my son will be born"
0,9,7,0,9,9,and the whole realm will celebrate.
0,9,9,0,9,12,"We have no way of predicting
the sex of the child."
0,9,12,0,9,15,"Of course, no maester's
capable of rendering an opinion"
0,9,15,0,9,16,"free of conditions, are they now?"
0,9,17,0,9,19,There's a boy in the Queen's belly.
0,9,20,0,9,21,I know it.
0,9,23,0,9,24,And my heir will soon put all of this
0,9,24,0,9,26,damnable hand-wringing to rest himself.
0,9,30,0,9,32,"He passed through the Red
Keep's gates at first light."
0,9,32,0,9,33,Does my father know he's here?
0,9,33,0,9,35,"- No.
- Good."
0,9,43,0,9,44,Gods be good.
0,9,45,0,9,46,"It's all right, ser."
0,9,54,0,9,57,_
0,9,57,0,9,58,_
0,9,58,0,10,1,_
0,10,1,0,10,3,_
0,10,4,0,10,7,_
0,10,7,0,10,8,Aye.
0,10,8,0,10,11,_
0,10,11,0,10,14,_
0,10,14,0,10,18,_
0,10,18,0,10,20,_
0,10,20,0,10,21,Mm.
0,10,21,0,10,24,_
0,10,24,0,10,27,_
0,10,27,0,10,30,_
0,10,31,0,10,33,_
0,10,33,0,10,34,_
0,10,37,0,10,39,I bought you something.
0,10,44,0,10,45,Do you know what it is?
0,10,47,0,10,48,It's Valyrian steel.
0,10,49,0,10,51,Like Dark Sister.
0,10,55,0,10,56,Turn around.
0,11,10,0,11,11,Now
0,11,12,0,11,16,"you and I both own a small
piece of our ancestry."
0,11,26,0,11,28,"- Did you read it?
- Of course, I read it."
0,11,28,0,11,30,When Princess Nymeria arrived in Dorne
0,11,31,0,11,32,who did she take to husband?
0,11,32,0,11,34,A man.
0,11,34,0,11,35,What was his name?
0,11,35,0,11,37,Lord Something.
0,11,37,0,11,40,"If you answer with ""Lord Something,""
Septa Marlow will be furious."
0,11,40,0,11,42,She's funny when she's furious.
0,11,45,0,11,48,"You're always like this
when you're worried."
0,11,48,0,11,49,Like what?
0,11,49,0,11,51,Disagreeable.
0,11,55,0,11,57,"You're worried your father
is about to overshadow you"
0,11,57,0,11,58,with a son.
0,11,58,0,12,0,I only worry for my mother.
0,12,1,0,12,3,I hope for my father that he gets a son.
0,12,4,0,12,6,"As long as I can recall,
it's all he's wanted."
0,12,7,0,12,9,You want him to have a son?
0,12,9,0,12,11,I want to fly with you on dragon back
0,12,11,0,12,13,"see the great wonders
across the Narrow Sea"
0,12,13,0,12,14,and eat only cake.
0,12,14,0,12,16,"- I'm being serious.
- I never jest about cake."
0,12,17,0,12,19,You aren't worried about your position?
0,12,19,0,12,22,"I like this position.
It's quite comfortable."
0,12,25,0,12,26,Where are you going?
0,12,26,0,12,29,Home. The hour has grown late.
0,12,29,0,12,33,"Princess Nymeria led her Rhoynar
across the Narrow Sea on 10,000 ships"
0,12,33,0,12,35,to flee their Valyrian pursuers.
0,12,35,0,12,38,"She took Lord Mors
Martell of Dorne to husband"
0,12,38,0,12,40,and burned her own fleet off Sun spear
0,12,40,0,12,43,"to show her people that
they were finished running."
0,12,45,0,12,46,"- What are you doing?
- So you remember."
0,12,48,0,12,51,"- If the Septa sees this book then...
- Fuck the Septa."
0,12,51,0,12,52,Rhaenyra!
0,13,4,0,13,6,Is it healing?
0,13,6,0,13,8,"It has grown slightly, Your Grace."
0,13,10,0,13,12,Can you say yet what it is?
0,13,12,0,13,15,We've sent inquiries to the Citadel.
0,13,15,0,13,17,"They are searching the
texts for similar cases."
0,13,17,0,13,19,"It's a small cut from
sitting the throne."
0,13,19,0,13,21,It's nothing.
0,13,21,0,13,23,The King has been under heavy stresses
0,13,23,0,13,25,preparing for the birth.
0,13,26,0,13,30,"Bad humors of the mind can
adversely affect the body."
0,13,30,0,13,33,"Whatever it is, it
needs to be kept quiet."
0,13,37,0,13,38,"We should leech it again, maester."
0,13,38,0,13,41,"It's a wound that refuses
to heal, Grand Maester."
0,13,42,0,13,44,Might I suggest cauterization?
