id,paragraphs,words,word_count
101,The scroll Jaehaerys open giving final result identifies Viserys parent Jaehaerys son Baelon Baelon sister wife Alyssa . Later episode Viserys say dialogue name newborn son Baelon specify naming father .,"['The', 'scroll', 'Jaehaerys', 'open', 'giving', 'final', 'result', 'identifies', 'Viserys', 'parent', 'Jaehaerys', 'son', 'Baelon', 'Baelon', 'sister', 'wife', 'Alyssa', '.', 'Later', 'episode', 'Viserys', 'say', 'dialogue', 'name', 'newborn', 'son', 'Baelon', 'specify', 'naming', 'father', '.']",31
102,The phrasing son may caused confusion whether Jaehaerys son cut TV canon Official Guide confirms Jaehaerys 13 child . Of three son survived cradle third son Vaegon became archmaester could inherit addition fact older brother surviving child stronger claim .,"['The', 'phrasing', 'son', 'may', 'caused', 'confusion', 'whether', 'Jaehaerys', 'son', 'cut', 'TV', 'canon', 'Official', 'Guide', 'confirms', 'Jaehaerys', '13', 'child', '.', 'Of', 'three', 'son', 'survived', 'cradle', 'third', 'son', 'Vaegon', 'became', 'archmaester', 'could', 'inherit', 'addition', 'fact', 'older', 'brother', 'surviving', 'child', 'stronger', 'claim', '.']",40
103,The detail Great Council Harrenhal somewhat condensed TV version . In book final two candidate Viserys Rhaenys son Laenor Rhaenys counted one potential candidate 14 total . It still broadly speaking seen vote bloodline Viserys Rhaenys . The TV series also say 14 candidate unclear Laenor Laena included count book though 11 14 candidate ever described book complete list disrupt .,"['The', 'detail', 'Great', 'Council', 'Harrenhal', 'somewhat', 'condensed', 'TV', 'version', '.', 'In', 'book', 'final', 'two', 'candidate', 'Viserys', 'Rhaenys', 'son', 'Laenor', 'Rhaenys', 'counted', 'one', 'potential', 'candidate', '14', 'total', '.', 'It', 'still', 'broadly', 'speaking', 'seen', 'vote', 'bloodline', 'Viserys', 'Rhaenys', '.', 'The', 'TV', 'series', 'also', 'say', '14', 'candidate', 'unclear', 'Laenor', 'Laena', 'included', 'count', 'book', 'though', '11', '14', 'candidate', 'ever', 'described', 'book', 'complete', 'list', 'disrupt', '.']",61
104,Jaehaerys physically present Harrenhal long deliberation either older travel thought inappropriate though plausibly could come final tally .,"['Jaehaerys', 'physically', 'present', 'Harrenhal', 'long', 'deliberation', 'either', 'older', 'travel', 'thought', 'inappropriate', 'though', 'plausibly', 'could', 'come', 'final', 'tally', '.']",18
106,The entire brief council scene filmed entirely greenscreen rather build massive Harrenhal set barely use Season 1 . It actually filmed Iron Throne room set biggest internal set . Halfway construction surface finished painted wood wall green hung green screen ceiling part actually constructed Jaehaerys throne step leading . While Harrenhal vast ruin seen Game Thrones section castle design drew inspiration various ancient cathedral Whitby Abbey . 3,"['The', 'entire', 'brief', 'council', 'scene', 'filmed', 'entirely', 'greenscreen', 'rather', 'build', 'massive', 'Harrenhal', 'set', 'barely', 'use', 'Season', '1', '.', 'It', 'actually', 'filmed', 'Iron', 'Throne', 'room', 'set', 'biggest', 'internal', 'set', '.', 'Halfway', 'construction', 'surface', 'finished', 'painted', 'wood', 'wall', 'green', 'hung', 'green', 'screen', 'ceiling', 'part', 'actually', 'constructed', 'Jaehaerys', 'throne', 'step', 'leading', '.', 'While', 'Harrenhal', 'vast', 'ruin', 'seen', 'Game', 'Thrones', 'section', 'castle', 'design', 'drew', 'inspiration', 'various', 'ancient', 'cathedral', 'Whitby', 'Abbey', '.', '3']",68
107,The Small Council,"['The', 'Small', 'Council']",3
108,Viserys Small Council episode consists Otto Hightower Hand King Ser Ryam Redwyne Lord Commander Kingsguard Grand Maester Mellos Corlys Velaryon Master Ships Lyman Beesbury Master Coin Lyonel Strong Master Laws . The seventh position Master Whisperers spymaster present book identity Viserys spymaster first half reign whether even one time stated .,"['Viserys', 'Small', 'Council', 'episode', 'consists', 'Otto', 'Hightower', 'Hand', 'King', 'Ser', 'Ryam', 'Redwyne', 'Lord', 'Commander', 'Kingsguard', 'Grand', 'Maester', 'Mellos', 'Corlys', 'Velaryon', 'Master', 'Ships', 'Lyman', 'Beesbury', 'Master', 'Coin', 'Lyonel', 'Strong', 'Master', 'Laws', '.', 'The', 'seventh', 'position', 'Master', 'Whisperers', 'spymaster', 'present', 'book', 'identity', 'Viserys', 'spymaster', 'first', 'half', 'reign', 'whether', 'even', 'one', 'time', 'stated', '.']",51
109,The Small Council somewhat condensed book Corlys Velaryon resigned position Master Ships protest wife child passed throne Great Council Harrenhal . The conversation TV Corlys council scene conveyed written correspondence messenger book complaining king Triarchy affect shipping lane Stepstones . The TV series shifted face face conversation . This displace character unknown Viserys Master Ships first half reign .,"['The', 'Small', 'Council', 'somewhat', 'condensed', 'book', 'Corlys', 'Velaryon', 'resigned', 'position', 'Master', 'Ships', 'protest', 'wife', 'child', 'passed', 'throne', 'Great', 'Council', 'Harrenhal', '.', 'The', 'conversation', 'TV', 'Corlys', 'council', 'scene', 'conveyed', 'written', 'correspondence', 'messenger', 'book', 'complaining', 'king', 'Triarchy', 'affect', 'shipping', 'lane', 'Stepstones', '.', 'The', 'TV', 'series', 'shifted', 'face', 'face', 'conversation', '.', 'This', 'displace', 'character', 'unknown', 'Viserys', 'Master', 'Ships', 'first', 'half', 'reign', '.']",59
110,Corlys Velaryon introduces recent alliance Free Cities calling Triarchy . It triple alliance Lys Myr Tyrosh . The name noted misnomer universe ruled triarchs way Volantis rather TV Corlys say alliance .,"['Corlys', 'Velaryon', 'introduces', 'recent', 'alliance', 'Free', 'Cities', 'calling', 'Triarchy', '.', 'It', 'triple', 'alliance', 'Lys', 'Myr', 'Tyrosh', '.', 'The', 'name', 'noted', 'misnomer', 'universe', 'ruled', 'triarchs', 'way', 'Volantis', 'rather', 'TV', 'Corlys', 'say', 'alliance', '.']",32
111,Grand Maester Mellos TV series condensation two Grand Maesters book one first half Viserys reign man named Runciter replaced Mellos second half Viserys reign . In term personality match book Mellos particularly go suggestion leechings maesters narrative argue various chemical tincture would effective .,"['Grand', 'Maester', 'Mellos', 'TV', 'series', 'condensation', 'two', 'Grand', 'Maesters', 'book', 'one', 'first', 'half', 'Viserys', 'reign', 'man', 'named', 'Runciter', 'replaced', 'Mellos', 'second', 'half', 'Viserys', 'reign', '.', 'In', 'term', 'personality', 'match', 'book', 'Mellos', 'particularly', 'go', 'suggestion', 'leechings', 'maesters', 'narrative', 'argue', 'various', 'chemical', 'tincture', 'would', 'effective', '.']",44
