id,paragraphs
0,god yet make man lack patience absolute power grace
1,―otto viserys targaryen
2,ser otto hightower knight house hightower hand king king jaehaerys viserys aegon ii
3,biography
4,background
5,otto younger brother lord hobert hightower father gwayne alicent hightower hand king viserys targaryen considers king brother heir prince daemon targaryen greatest threat realm 1
6,ser otto named hand king king jaehaerys targaryen 101 ac following death prince baelon targaryen 2
7,house dragon season 1
8,nine year reign king viserys otto attends meeting small council lord corlys velaryon informs council alliance free city known triarchy trying claim stepstones sea snake warns westerosi port could negatively affected concern dismissed otto king otto swiftly turn discussion joyous topic upcoming heir tournament king planned approaching birth next child hopeful son later night otto present grand maester mellos maester mickon attending infected wound king back otto instructs mellos keep affliction secret 3
9,night prince daemon lead city watch hunting criminal king landing rounding en masse face summary justice small council meeting following morning otto protest public measure excessive allowed act impunity otto demand daemon account action daemon defends stating followed king law westeros nobility coming king tourney justified action ensure safety otto say daemon put much effort marriage work gold cloak daemon seen wife rhea royce runestone even vale arryn long time daemon insult wife otto responds defend honor daemon state would happy wife share otto bed wife recently passed otto furiously rise foot affront viserys defuses argument bidding otto rejoin brother provocation otto begrudgingly complies 3
10,following day otto sits beside king royal box heir tournament commences otto whisper viserys could lord boremund baratheon tongue cut called princess rhaenys queen never king dismisses harmless otto provoked daemon pick first opponent joust eldest son ser gwayne hightower defeating gwayne second tilt tripping horse daemon asks receives otto daughter alicent favor tournament continues maester arrives informs otto queen aemma difficult labor otto promptly telling viserys leaving tourney ground otto later return notify member small council news birth prince baelon targaryen death queen 3
11,otto attends funeral queen aemma prince baelon 3
12,small council meeting otto press viserys set succession firmly order stability realm baelon death daemon viserys heir presumptive otto support grand maester mellos adamant daemon ambitious insists daemon loyalty city watch viserys responds brother may ambitious ambition iron throne kingship suit responds otto complaint daemon command city watch effectively give prince private army pointing otto idea give daemon command first place otto complained viserys named brother master law tyrant master coin spendthrift otto concedes point asserts opinion daemon kept far away power could second maegor cruel worse lord lyonel strong asks else would claim otto suggests king firstborn child rhaenyra viserys refuse notion choosing brother daughter corlys offer alternative wife rhaenys otto dismisses corlys already declared support daemon discussion end abruptly viserys berates small council behaving like crow squabbling corps still mourning wife son 3
